paragraph,image,is_code,category,section,title,url,video_urls
"Actualmente la activación de chip en remoto se realiza desde Sportmaniacs.
Desde la configuración de la carrera en Sportmaniacs, se pueden activar los filtros que se
crearán por defecto con tu pedido o añadir nuevos, en el caso de que uses chips que te
sobraron de otras carreras.
Cuando conectes los equipos en remoto y cargues la configuración de carrera desde
Sportmaniacs estos filtros no se cargarán automáticamente en el equipo para la carrera",4_-_Filtrado_de_Chips_-_2_Activacion_del_filtrado_de_de_chips_en_remoto_img25.png;4_-_Filtrado_de_Chips_-_2_Activacion_del_filtrado_de_de_chips_en_remoto_img27.png,FALSE,Equipo de cronometraje TS,Filtrado de Chips,Activacion del filtrado de de chips en remoto,,
"Sportmaniacs estos filtros no se cargarán automáticamente en el equipo para la carrera
seleccionada. Debes de activarlos voluntariamente.
Cuando conectas tu equipo en remoto y cargas la configuración de carrera, se aplican los
filtros que hayas creado en Sportmaniacs. Los puedes editar solamente en el momento de la
creación de la carrera en Sportmaniacs. Los filtros que hayas creado en modo local
desaparecerán mientras esté en vigor una configuración de carrera. Una vez la",4_-_Filtrado_de_Chips_-_2_Activacion_del_filtrado_de_de_chips_en_remoto_img25.png;4_-_Filtrado_de_Chips_-_2_Activacion_del_filtrado_de_de_chips_en_remoto_img27.png,FALSE,Equipo de cronometraje TS,Filtrado de Chips,Activacion del filtrado de de chips en remoto,,
"desaparecerán mientras esté en vigor una configuración de carrera. Una vez la
configuración de carrera caduque, volverán a aparecer los filtros locales.
Puedes activar y crear filtros directamente desde los equipos. Te contamos cómo hacerlo en
este artículo.
Puedes configurar el filtrado de chips en Sportmaniacs desde la ficha de una carrera.
Haz clic en“Filtros” en el menú lateral izquierdo. Verás que no hay ningún filtro
1.",4_-_Filtrado_de_Chips_-_2_Activacion_del_filtrado_de_de_chips_en_remoto_img25.png;4_-_Filtrado_de_Chips_-_2_Activacion_del_filtrado_de_de_chips_en_remoto_img27.png,FALSE,Equipo de cronometraje TS,Filtrado de Chips,Activacion del filtrado de de chips en remoto,,
"Haz clic en“Filtros” en el menú lateral izquierdo. Verás que no hay ningún filtro
1.
activo por defecto y no se activarán hasta que no lo marques el check haz clic en
“Añadir Filtro”.",4_-_Filtrado_de_Chips_-_2_Activacion_del_filtrado_de_de_chips_en_remoto_img25.png;4_-_Filtrado_de_Chips_-_2_Activacion_del_filtrado_de_de_chips_en_remoto_img27.png,FALSE,Equipo de cronometraje TS,Filtrado de Chips,Activacion del filtrado de de chips en remoto,,
"Selecciona el nombre de tu empresa y la carrera que estás configurando, para la que
2.
has pedido los chips secuenciados. Puedes añadir códigos de otras carreras si tienes
chips sobrantes.
Haz clic en“Guardar”.
3.
Todos los filtros se pueden activar y desactivar, pero recuerda hacer clic en el botón
«Guardar» tras realizar cualquier cambio.
Las lecturas que no cumplan con los filtros activos no se enviarán a TSCloud pero se",4_-_Filtrado_de_Chips_-_2_Activacion_del_filtrado_de_de_chips_en_remoto_img25.png;4_-_Filtrado_de_Chips_-_2_Activacion_del_filtrado_de_de_chips_en_remoto_img27.png,FALSE,Equipo de cronometraje TS,Filtrado de Chips,Activacion del filtrado de de chips en remoto,,
"Las lecturas que no cumplan con los filtros activos no se enviarán a TSCloud pero se
quedarán almacenadas en el equipo. Puedes recuperarlas aplicando los filtros correctos y
rebobinando el equipo desde TSConnector; o descargando la sesión a un USB desde la
sección de «Sesiones Anteriores»",4_-_Filtrado_de_Chips_-_2_Activacion_del_filtrado_de_de_chips_en_remoto_img25.png;4_-_Filtrado_de_Chips_-_2_Activacion_del_filtrado_de_de_chips_en_remoto_img27.png,FALSE,Equipo de cronometraje TS,Filtrado de Chips,Activacion del filtrado de de chips en remoto,,
VIDEO Zona Horaria,,FALSE,Equipo de cronometraje TS,Configuracion,VIDEO Zona Horaria,,
"Puedes activar o desactivar el pitido que emite el equipo de cronometraje cada vez que
lee un chip.
Selecciona la tecla de menú.
1.
Selecciona “Configuración”. ⚙️
2.
El tercer elemento en la pantalla de configuración es “Sonido”. Haciendo clic sobre el
3.
botón podrás activarlo o desactivarlo.
 
El firmware del equipo de cronometraje de timingsense está disponible en cinco idiomas
(español, inglés, francés, polaco y ruso). Puedes escoger el que prefieras a través de la",2_-_Configuracion_-_2_Sonido_e_idioma_del_equipo_img23.png;2_-_Configuracion_-_2_Sonido_e_idioma_del_equipo_img25.png;2_-_Configuracion_-_2_Sonido_e_idioma_del_equipo_img27.png,FALSE,Equipo de cronometraje TS,Configuracion,Sonido e idioma del equipo,,
"(español, inglés, francés, polaco y ruso). Puedes escoger el que prefieras a través de la
pantalla de configuración siguiendo estos sencillos pasos:
Selecciona la tecla de menú.
1.
Selecciona “Configuración”. ⚙️
2.
En la fila “Idioma” se muestra el idioma configurado en ese momento. Para
3.
modificarlo, haz clic en el [REF_IMAGEN_PERDIDA] de edición.
 
Escoge tu idioma entre los que aparecen en el listado.
4.",2_-_Configuracion_-_2_Sonido_e_idioma_del_equipo_img23.png;2_-_Configuracion_-_2_Sonido_e_idioma_del_equipo_img25.png;2_-_Configuracion_-_2_Sonido_e_idioma_del_equipo_img27.png,FALSE,Equipo de cronometraje TS,Configuracion,Sonido e idioma del equipo,,
"Puedes configurar el canal de las antenas conectadas a un equipo desde la pantalla de
configuración. Solo aplicable a modelos con lectores que emiten en frecuencia Europea.
En los equipos de 4 puertos la configuración será la misma para todas las antenas
conectadas al equipo. En los equipos de 8 puertos puedes aplicar una configuración
distinta a las antenas conectadas al primer lector (puertos 1-4) y a las conectadas al
segundo lector (puertos 5-8).
Selecciona la tecla de menú.
1.",2_-_Configuracion_-_1_Canales_y_potencia_de_las_antenas_img23.png;2_-_Configuracion_-_1_Canales_y_potencia_de_las_antenas_img25.png,FALSE,Equipo de cronometraje TS,Configuracion,Canales y potencia de las antenas,,
