paragraph,image,is_code,category,section,title,url,video_urls
En este vídeo le mostraremos cómo acceder a nuestra plataforma de formación.,,False,Copernico,Primeros pasos,Como acceder a la plataforma de formación,https://wiki.timingsense.com/hc/es/articles/20552788862621-Como-acceder-a-la-plataforma-de-formaci%C3%B3n,['https://www.youtube-nocookie.com/embed/7q9CwYKLRX8']
En esta plataforma encontrarás formación guiada que te ayudará en tú aprendizaje.,,False,Copernico,Primeros pasos,Como acceder a la plataforma de formación,https://wiki.timingsense.com/hc/es/articles/20552788862621-Como-acceder-a-la-plataforma-de-formaci%C3%B3n,['https://www.youtube-nocookie.com/embed/7q9CwYKLRX8']
"El campo ""identificador único de atleta"" se utiliza para identificar de manera exclusiva a cada participante en Copernico.",,False,Copernico,Primeros pasos,Identificador único de atleta,https://wiki.timingsense.com/hc/es/articles/25621914645021-Identificador-%C3%BAnico-de-atleta,[]
"Este valor puede ser importado, por ejemplo, utilizando el mismo valor que el dorsal del participante durante el proceso de importación. Simplemente duplica la columna del dorsal y cambia el nombre de la cabecera.",,False,Copernico,Primeros pasos,Identificador único de atleta,https://wiki.timingsense.com/hc/es/articles/25621914645021-Identificador-%C3%BAnico-de-atleta,[]
Los datos se podrán asociar al realizar la importación de participantes.,https://wiki.timingsense.com/hc/article_attachments/25621943831325,False,Copernico,Primeros pasos,Identificador único de atleta,https://wiki.timingsense.com/hc/es/articles/25621914645021-Identificador-%C3%BAnico-de-atleta,[]
"En caso de no ser importado, copernico creará automáticamente un identificador único.",https://wiki.timingsense.com/hc/article_attachments/25621943834141,False,Copernico,Primeros pasos,Identificador único de atleta,https://wiki.timingsense.com/hc/es/articles/25621914645021-Identificador-%C3%BAnico-de-atleta,[]
"En cualquiera de los casos, cuando se exporta un fichero CSV desde la sección ""participantes"", el valor se mostrará en la primera columna del fichero exportado. En la imagen anterior se puede ver un ejemplo de valor generado por Copernico.",,False,Copernico,Primeros pasos,Identificador único de atleta,https://wiki.timingsense.com/hc/es/articles/25621914645021-Identificador-%C3%BAnico-de-atleta,[]
Este campo es importante ya que se utiliza en:,,False,Copernico,Primeros pasos,Identificador único de atleta,https://wiki.timingsense.com/hc/es/articles/25621914645021-Identificador-%C3%BAnico-de-atleta,[]
"Seguimiento de atletas: cuando una persona marca como favorito a un participante en Live APP o Live web, el identificador único permite realizar modificaciones o actualizaciones sin que los seguidores pierdan sus favoritos. · Actualizaciones o modificaciones de datos de participantes:en el siguiente artículo te explicamos cómo se deben realizar. · Importación de tiempos:en el siguiente artículo te explicamos cómo afecta.",,False,Copernico,Primeros pasos,Identificador único de atleta,https://wiki.timingsense.com/hc/es/articles/25621914645021-Identificador-%C3%BAnico-de-atleta,[]
Cada empresa que usa Copernico tiene una url de acceso a la herramienta de cronometraje. Para acceder al panel de Copernico necesitas saber la url de tu empresa.,https://timingsense.com/wp-content/uploads/2019/02/135.1-es-1024x348.png,False,Copernico,Primeros pasos,Acceso al panel de Copernico,https://wiki.timingsense.com/hc/es/articles/10362265997853-Acceso-al-panel-de-Copernico,['https://www.youtube-nocookie.com/embed/aTKIiZmFi3s']
